Species_Code,Species,Country,Country_Code,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
3,Marine fishes,Canada,CAN,512534.3121,554026.6629,532247.9989,562116.2076,612397.6632,621881.1732,551083.8545,515051.8006,461977.4227,470021.5442,441194.311,385586.843,350488.575,360283.886,350853.3294,334376.5976,400533.3482,0
3,Marine fishes,Chile,CHL,0,0,0,0,0,0,0,0,3294422,3283245,2357063,2778578,2310995,1558153,1886467,1466770,0,0
3,Marine fishes,Chinese Taipei,TWN,772162.953,786317.177,873250.0791,904626.802,842172.2425,886304.2327,781935.8804,848216.8624,743602.49,705213.5676,758328.8598,752019.47,771995.942,764560.4549,825763.9078,696870.3012,702914.9881,641100.8179
3,Marine fishes,Colombia,COL,0,0,0,0,0,0,0,0,0,0,0,0,40240.28327,33901.51763,37283.35132,39587.15015,11501.91324,45328.33568
3,Marine fishes,Costa Rica,CRI,22749.02911,26087.64842,24810.76828,19197.31507,14697.00601,15370.73086,14704.66846,13395.31214,13582.64005,13192.84207,12766.41516,15156.4645,15656.07591,12837.14387,13948.50601,12251.15522,9256.142839,0
3,Marine fishes,Denmark,DNK,1406532.2,1371982.1,1313438.6,924353.4,966071.6,821239.3,793274.8,577946.3,638222,721476.6,783424.2,665663.9,449597.4,611698.5,683739.7,796389.7,599995.8,832612.9
3,Marine fishes,Estonia,EST,0,0,0,0,0,82099.905,75929.40943,81362.17762,83578.13588,83931.09348,81611.2306,65297.59795,53697.11128,57600.86973,57335.8218,61154.12854,62802.26909,69785.717
3,Marine fishes,France,FRA,293033,284394,283186,248315,239903,219599,248525.2,228806.3,204718.6,146379.8,177044.7,210194.92,199362.54,202763.4,201928.46,191447.35,261105.6,256209.85
3,Marine fishes,Germany,DEU,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158602.147,217775.737,227459.096
3,Marine fishes,Greece,GRC,0,0,78994.38,75729.25,78106.96,76897.86,81414.15,78912.32,72346,70051.47,59630.52,52519.9,50860.91,53309.08,50559.86,53208.11,51642,55441.5
3,Marine fishes,Iceland,ISL,0,0,0,0,0,0,0,0,0,0,0,0,1322092.565,1342442.851,1067569.922,1303148.99,1065847.861,1147990.739
3,Marine fishes,Ireland,IRL,0,0,0,0,0,0,0,189076.6964,179326.1345,244741.79,292111.5877,180870.0714,198962.13,218797.8826,249741.1363,211042.6181,208812.4821,221728.99
3,Marine fishes,Italy,ITA,0,0,0,0,201229.5802,196489.7575,211159.7054,187118.89,154324.3931,171057.3947,150275.6599,139411.6257,132441.118,113897.2322,119657.352,135982.2891,132218.0576,129240.0993
